Word,L1,L2,L3,L4,L5
about,a,b,o,u,t
above,a,b,o,v,e
abuse,a,b,u,s,e
acted,a,c,t,e,d
added,a,d,d,e,d
admit,a,d,m,i,t
adopt,a,d,o,p,t
after,a,f,t,e,r
again,a,g,a,i,n
agree,a,g,r,e,e
ahead,a,h,e,a,d
aimed,a,i,m,e,d
alarm,a,l,a,r,m
album,a,l,b,u,m
alias,a,l,i,a,s
alive,a,l,i,v,e
allow,a,l,l,o,w
alone,a,l,o,n,e
along,a,l,o,n,g
alter,a,l,t,e,r
amuse,a,m,u,s,e
angle,a,n,g,l,e
angry,a,n,g,r,y
annoy,a,n,n,o,y
apart,a,p,a,r,t
apple,a,p,p,l,e
apply,a,p,p,l,y
areas,a,r,e,a,s
argue,a,r,g,u,e
arise,a,r,i,s,e
aside,a,s,i,d,e
asked,a,s,k,e,d
avoid,a,v,o,i,d
awake,a,w,a,k,e
award,a,w,a,r,d
aware,a,w,a,r,e
awful,a,w,f,u,l
backs,b,a,c,k,s
badly,b,a,d,l,y
based,b,a,s,e,d
bases,b,a,s,e,s
basic,b,a,s,i,c
basis,b,a,s,i,s
bears,b,e,a,r,s
began,b,e,g,a,n
begin,b,e,g,i,n
begun,b,e,g,u,n
being,b,e,i,n,g
below,b,e,l,o,w
binds,b,i,n,d,s
bites,b,i,t,e,s
black,b,l,a,c,k
blame,b,l,a,m,e
blank,b,l,a,n,k
block,b,l,o,c,k
board,b,o,a,r,d
books,b,o,o,k,s
borne,b,o,r,n,e
bound,b,o,u,n,d
boxes,b,o,x,e,s
brand,b,r,a,n,d
break,b,r,e,a,k
brief,b,r,i,e,f
bring,b,r,i,n,g
broke,b,r,o,k,e
brown,b,r,o,w,n
build,b,u,i,l,d
built,b,u,i,l,t
bytes,b,y,t,e,s
calls,c,a,l,l,s
cards,c,a,r,d,s
cares,c,a,r,e,s
carry,c,a,r,r,y
cases,c,a,s,e,s
catch,c,a,t,c,h
cause,c,a,u,s,e
cease,c,e,a,s,e
chain,c,h,a,i,n
chair,c,h,a,i,r
chaos,c,h,a,o,s
chars,c,h,a,r,s
cheap,c,h,e,a,p
check,c,h,e,c,k
child,c,h,i,l,d
chips,c,h,i,p,s
chose,c,h,o,s,e
claim,c,l,a,i,m
class,c,l,a,s,s
clean,c,l,e,a,n
clear,c,l,e,a,r
clock,c,l,o,c,k
close,c,l,o,s,e
coded,c,o,d,e,d
codes,c,o,d,e,s
comes,c,o,m,e,s
costs,c,o,s,t,s
could,c,o,u,l,d
count,c,o,u,n,t
court,c,o,u,r,t
cover,c,o,v,e,r
crash,c,r,a,s,h
crazy,c,r,a,z,y
crisp,c,r,i,s,p
cross,c,r,o,s,s
cycle,c,y,c,l,e
daily,d,a,i,l,y
dated,d,a,t,e,d
dates,d,a,t,e,s
datum,d,a,t,u,m
deals,d,e,a,l,s
dealt,d,e,a,l,t
death,d,e,a,t,h
deems,d,e,e,m,s
delay,d,e,l,a,y
depth,d,e,p,t,h
digit,d,i,g,i,t
dirty,d,i,r,t,y
discs,d,i,s,c,s
ditto,d,i,t,t,o
doing,d,o,i,n,g
doors,d,o,o,r,s
doubt,d,o,u,b,t
dozen,d,o,z,e,n
drawn,d,r,a,w,n
draws,d,r,a,w,s
dream,d,r,e,a,m
drink,d,r,i,n,k
drive,d,r,i,v,e
drops,d,r,o,p,s
drove,d,r,o,v,e
dying,d,y,i,n,g
early,e,a,r,l,y
earth,e,a,r,t,h
eaten,e,a,t,e,n
edits,e,d,i,t,s
eight,e,i,g,h,t
elect,e,l,e,c,t
empty,e,m,p,t,y
ended,e,n,d,e,d
enemy,e,n,e,m,y
enjoy,e,n,j,o,y
enter,e,n,t,e,r
entry,e,n,t,r,y
equal,e,q,u,a,l
error,e,r,r,o,r
evens,e,v,e,n,s
event,e,v,e,n,t
every,e,v,e,r,y
exact,e,x,a,c,t
exist,e,x,i,s,t
extra,e,x,t,r,a
facts,f,a,c,t,s
fails,f,a,i,l,s
faith,f,a,i,t,h
falls,f,a,l,l,s
false,f,a,l,s,e
fancy,f,a,n,c,y
fatal,f,a,t,a,l
fault,f,a,u,l,t
feeds,f,e,e,d,s
feels,f,e,e,l,s
fewer,f,e,w,e,r
field,f,i,e,l,d
fight,f,i,g,h,t
filed,f,i,l,e,d
files,f,i,l,e,s
fills,f,i,l,l,s
final,f,i,n,a,l
finds,f,i,n,d,s
first,f,i,r,s,t
fixed,f,i,x,e,d
fixes,f,i,x,e,s
flash,f,l,a,s,h
flied,f,l,i,e,d
flies,f,l,i,e,s
float,f,l,o,a,t
floor,f,l,o,o,r
flown,f,l,o,w,n
folks,f,o,l,k,s
force,f,o,r,c,e
forms,f,o,r,m,s
forth,f,o,r,t,h
found,f,o,u,n,d
frame,f,r,a,m,e
fresh,f,r,e,s,h
fries,f,r,i,e,s
front,f,r,o,n,t
fully,f,u,l,l,y
funds,f,u,n,d,s
funny,f,u,n,n,y
gains,g,a,i,n,s
games,g,a,m,e,s
given,g,i,v,e,n
gives,g,i,v,e,s
glass,g,l,a,s,s
going,g,o,i,n,g
goods,g,o,o,d,s
grand,g,r,a,n,d
grant,g,r,a,n,t
graph,g,r,a,p,h
grave,g,r,a,v,e
great,g,r,e,a,t
green,g,r,e,e,n
grind,g,r,i,n,d
gross,g,r,o,s,s
group,g,r,o,u,p
grown,g,r,o,w,n
grows,g,r,o,w,s
guard,g,u,a,r,d
guess,g,u,e,s,s
guide,g,u,i,d,e
habit,h,a,b,i,t
hands,h,a,n,d,s
handy,h,a,n,d,y
hangs,h,a,n,g,s
happy,h,a,p,p,y
heads,h,e,a,d,s
heard,h,e,a,r,d
hears,h,e,a,r,s
heart,h,e,a,r,t
heavy,h,e,a,v,y
hello,h,e,l,l,o
helps,h,e,l,p,s
hence,h,e,n,c,e
hides,h,i,d,e,s
hints,h,i,n,t,s
holds,h,o,l,d,s
holes,h,o,l,e,s
hoped,h,o,p,e,d
hopes,h,o,p,e,s
horse,h,o,r,s,e
hotel,h,o,t,e,l
hours,h,o,u,r,s
house,h,o,u,s,e
human,h,u,m,a,n
hurry,h,u,r,r,y
ideal,i,d,e,a,l
ideas,i,d,e,a,s
image,i,m,a,g,e
imply,i,m,p,l,y
index,i,n,d,e,x
inner,i,n,n,e,r
input,i,n,p,u,t
issue,i,s,s,u,e
items,i,t,e,m,s
joins,j,o,i,n,s
joint,j,o,i,n,t
judge,j,u,d,g,e
jumps,j,u,m,p,s
keeps,k,e,e,p,s
kills,k,i,l,l,s
kinds,k,i,n,d,s
knock,k,n,o,c,k
known,k,n,o,w,n
knows,k,n,o,w,s
label,l,a,b,e,l
lacks,l,a,c,k,s
lands,l,a,n,d,s
large,l,a,r,g,e
lasts,l,a,s,t,s
later,l,a,t,e,r
leach,l,e,a,c,h
leads,l,e,a,d,s
learn,l,e,a,r,n
least,l,e,a,s,t
leave,l,e,a,v,e
legal,l,e,g,a,l
level,l,e,v,e,l
light,l,i,g,h,t
liked,l,i,k,e,d
likes,l,i,k,e,s
limit,l,i,m,i,t
lines,l,i,n,e,s
links,l,i,n,k,s
lists,l,i,s,t,s
lived,l,i,v,e,d
lives,l,i,v,e,s
loads,l,o,a,d,s
local,l,o,c,a,l
locks,l,o,c,k,s
logic,l,o,g,i,c
looks,l,o,o,k,s
loose,l,o,o,s,e
lorry,l,o,r,r,y
loses,l,o,s,e,s
lower,l,o,w,e,r
lucky,l,u,c,k,y
lunch,l,u,n,c,h
lying,l,y,i,n,g
magic,m,a,g,i,c
major,m,a,j,o,r
makes,m,a,k,e,s
march,m,a,r,c,h
marks,m,a,r,k,s
marry,m,a,r,r,y
match,m,a,t,c,h
maybe,m,a,y,b,e
means,m,e,a,n,s
meant,m,e,a,n,t
media,m,e,d,i,a
meets,m,e,e,t,s
merit,m,e,r,i,t
messy,m,e,s,s,y
metal,m,e,t,a,l
might,m,i,g,h,t
miles,m,i,l,e,s
minds,m,i,n,d,s
minor,m,i,n,o,r
mixed,m,i,x,e,d
mixes,m,i,x,e,s
model,m,o,d,e,l
money,m,o,n,e,y
month,m,o,n,t,h
moral,m,o,r,a,l
mouth,m,o,u,t,h
moved,m,o,v,e,d
moves,m,o,v,e,s
movie,m,o,v,i,e
music,m,u,s,i,c
naive,n,a,i,v,e
named,n,a,m,e,d
names,n,a,m,e,s
nasty,n,a,s,t,y
needs,n,e,e,d,s
never,n,e,v,e,r
nicer,n,i,c,e,r
night,n,i,g,h,t
noise,n,o,i,s,e
noisy,n,o,i,s,y
north,n,o,r,t,h
noted,n,o,t,e,d
notes,n,o,t,e,s
novel,n,o,v,e,l
occur,o,c,c,u,r
offer,o,f,f,e,r
often,o,f,t,e,n
older,o,l,d,e,r
omits,o,m,i,t,s
opens,o,p,e,n,s
order,o,r,d,e,r
other,o,t,h,e,r
ought,o,u,g,h,t
outer,o,u,t,e,r
owing,o,w,i,n,g
owner,o,w,n,e,r
pages,p,a,g,e,s
pairs,p,a,i,r,s
paper,p,a,p,e,r
parts,p,a,r,t,s
party,p,a,r,t,y
patch,p,a,t,c,h
pause,p,a,u,s,e
payed,p,a,y,e,d
peace,p,e,a,c,e
phase,p,h,a,s,e
phone,p,h,o,n,e
picks,p,i,c,k,s
piece,p,i,e,c,e
place,p,l,a,c,e
plain,p,l,a,i,n
plane,p,l,a,n,e
plans,p,l,a,n,s
plant,p,l,a,n,t
plays,p,l,a,y,s
plots,p,l,o,t,s
point,p,o,i,n,t
posts,p,o,s,t,s
pound,p,o,u,n,d
power,p,o,w,e,r
press,p,r,e,s,s
price,p,r,i,c,e
prime,p,r,i,m,e
print,p,r,i,n,t
prior,p,r,i,o,r
prone,p,r,o,n,e
proof,p,r,o,o,f
prove,p,r,o,v,e
pulls,p,u,l,l,s
putts,p,u,t,t,s
queue,q,u,e,u,e
quick,q,u,i,c,k
quiet,q,u,i,e,t
quite,q,u,i,t,e
quits,q,u,i,t,s
quote,q,u,o,t,e
radio,r,a,d,i,o
raise,r,a,i,s,e
range,r,a,n,g,e
rapid,r,a,p,i,d
rates,r,a,t,e,s
reach,r,e,a,c,h
react,r,e,a,c,t
reads,r,e,a,d,s
ready,r,e,a,d,y
refer,r,e,f,e,r
reply,r,e,p,l,y
right,r,i,g,h,t
river,r,i,v,e,r
rooms,r,o,o,m,s
rough,r,o,u,g,h
round,r,o,u,n,d
route,r,o,u,t,e
rules,r,u,l,e,s
sadly,s,a,d,l,y
safer,s,a,f,e,r
saint,s,a,i,n,t
sales,s,a,l,e,s
saved,s,a,v,e,d
saves,s,a,v,e,s
scale,s,c,a,l,e
scene,s,c,e,n,e
score,s,c,o,r,e
scrap,s,c,r,a,p
seeks,s,e,e,k,s
seems,s,e,e,m,s
sells,s,e,l,l,s
sends,s,e,n,d,s
sense,s,e,n,s,e
serve,s,e,r,v,e
seven,s,e,v,e,n
shall,s,h,a,l,l
shame,s,h,a,m,e
shape,s,h,a,p,e
share,s,h,a,r,e
sharp,s,h,a,r,p
sheet,s,h,e,e,t
shelf,s,h,e,l,f
shell,s,h,e,l,l
shift,s,h,i,f,t
shoot,s,h,o,o,t
shops,s,h,o,p,s
short,s,h,o,r,t
shown,s,h,o,w,n
shows,s,h,o,w,s
shuts,s,h,u,t,s
sides,s,i,d,e,s
sight,s,i,g,h,t
signs,s,i,g,n,s
silly,s,i,l,l,y
since,s,i,n,c,e
sites,s,i,t,e,s
sizes,s,i,z,e,s
skill,s,k,i,l,l
sleep,s,l,e,e,p
small,s,m,a,l,l
smile,s,m,i,l,e
solid,s,o,l,i,d
solve,s,o,l,v,e
sorry,s,o,r,r,y
sorts,s,o,r,t,s
sound,s,o,u,n,d
south,s,o,u,t,h
space,s,p,a,c,e
spare,s,p,a,r,e
speak,s,p,e,a,k
speed,s,p,e,e,d
spell,s,p,e,l,l
spend,s,p,e,n,d
spent,s,p,e,n,t
spite,s,p,i,t,e
split,s,p,l,i,t
spoke,s,p,o,k,e
spots,s,p,o,t,s
staff,s,t,a,f,f
stage,s,t,a,g,e
stand,s,t,a,n,d
start,s,t,a,r,t
state,s,t,a,t,e
stays,s,t,a,y,s
steal,s,t,e,a,l
stick,s,t,i,c,k
still,s,t,i,l,l
stock,s,t,o,c,k
stone,s,t,o,n,e
stood,s,t,o,o,d
stops,s,t,o,p,s
store,s,t,o,r,e
story,s,t,o,r,y
stuck,s,t,u,c,k
study,s,t,u,d,y
stuff,s,t,u,f,f
style,s,t,y,l,e
sugar,s,u,g,a,r
suits,s,u,i,t,s
table,t,a,b,l,e
taken,t,a,k,e,n
takes,t,a,k,e,s
talks,t,a,l,k,s
tanks,t,a,n,k,s
tapes,t,a,p,e,s
tasks,t,a,s,k,s
taste,t,a,s,t,e
teach,t,e,a,c,h
teeth,t,e,e,t,h
tells,t,e,l,l,s
tends,t,e,n,d,s
terms,t,e,r,m,s
tests,t,e,s,t,s
thank,t,h,a,n,k
their,t,h,e,i,r
there,t,h,e,r,e
these,t,h,e,s,e
thing,t,h,i,n,g
think,t,h,i,n,k
third,t,h,i,r,d
those,t,h,o,s,e
three,t,h,r,e,e
threw,t,h,r,e,w
throw,t,h,r,o,w
tight,t,i,g,h,t
timed,t,i,m,e,d
times,t,i,m,e,s
title,t,i,t,l,e
today,t,o,d,a,y
token,t,o,k,e,n
tooth,t,o,o,t,h
topic,t,o,p,i,c
total,t,o,t,a,l
touch,t,o,u,c,h
trace,t,r,a,c,e
track,t,r,a,c,k
train,t,r,a,i,n
traps,t,r,a,p,s
trash,t,r,a,s,h
treat,t,r,e,a,t
trees,t,r,e,e,s
trial,t,r,i,a,l
trick,t,r,i,c,k
tried,t,r,i,e,d
tries,t,r,i,e,s
truck,t,r,u,c,k
truly,t,r,u,l,y
trunk,t,r,u,n,k
trust,t,r,u,s,t
truth,t,r,u,t,h
turns,t,u,r,n,s
twice,t,w,i,c,e
tying,t,y,i,n,g
typed,t,y,p,e,d
types,t,y,p,e,s
under,u,n,d,e,r
unite,u,n,i,t,e
units,u,n,i,t,s
until,u,n,t,i,l
upper,u,p,p,e,r
upset,u,p,s,e,t
usage,u,s,a,g,e
users,u,s,e,r,s
using,u,s,i,n,g
usual,u,s,u,a,l
vague,v,a,g,u,e
valid,v,a,l,i,d
value,v,a,l,u,e
video,v,i,d,e,o
views,v,i,e,w,s
visit,v,i,s,i,t
vital,v,i,t,a,l
voice,v,o,i,c,e
votes,v,o,t,e,s
waits,w,a,i,t,s
walks,w,a,l,k,s
walls,w,a,l,l,s
wants,w,a,n,t,s
warns,w,a,r,n,s
waste,w,a,s,t,e
watch,w,a,t,c,h
water,w,a,t,e,r
wears,w,e,a,r,s
weeks,w,e,e,k,s
weird,w,e,i,r,d
wheel,w,h,e,e,l
where,w,h,e,r,e
which,w,h,i,c,h
while,w,h,i,l,e
white,w,h,i,t,e
whole,w,h,o,l,e
whose,w,h,o,s,e
wider,w,i,d,e,r
wills,w,i,l,l,s
woman,w,o,m,a,n
women,w,o,m,e,n
words,w,o,r,d,s
works,w,o,r,k,s
world,w,o,r,l,d
worry,w,o,r,r,y
worse,w,o,r,s,e
worst,w,o,r,s,t
worth,w,o,r,t,h
would,w,o,u,l,d
write,w,r,i,t,e
wrong,w,r,o,n,g
wrote,w,r,o,t,e
years,y,e,a,r,s
young,y,o,u,n,g
yours,y,o,u,r,s
